response_id,grna_target,n_nonzero_trt,n_nonzero_cntrl,pass_qc,p_value,log_2_fold_change,stage,z_orig,xi,omega,alpha,significant
X46,Piezo2,1442,121695,TRUE,0.009598159061392747,-0.06759079099895793,2,-2.2119567543444663,-0.21700231855456797,1.2739342299918885,0.9146264274447083,FALSE
X95,Nr5a2,466,51031,TRUE,0.0096,-0.4365670315618697,3,-3.4013837481490135,NA,NA,NA,FALSE
X51,Ncl,597,55698,TRUE,0.009620708894300061,-0.021360668740667776,2,2.571117842515838,0.10617928934661458,0.8743003458810853,1.1009803301845553,FALSE
X12,Junb,1266,163113,TRUE,0.009664671228644353,0.048990171872194566,2,1.672270591949788,-1.631767076013093,1.1774473280638298,0.5851744532402764,FALSE
X52,Casp8,679,107046,TRUE,0.00968963721001959,0.20522459419377626,2,4.386386125255053,0.5926091351375239,1.3466602866779118,1.690951335208951,FALSE
X22,Hspa5,512,86183,TRUE,0.00973368236302416,-0.3825081682737581,2,-1.0499999244638154,0.3166959739278089,0.9475380471236192,1.0372020657466956,FALSE
X76,Piezo1,800,80274,TRUE,0.009747412782838208,-0.07391511813817253,2,-1.503248954069938,0.5966376508819959,1.1861791846044811,0.7232621599859623,FALSE
X35,Dag1,537,109003,TRUE,0.009767054815514003,0.09890890638049399,2,1.287270544122351,-0.9689073796306149,0.8016885233511609,1.0162872122239939,FALSE
X4,Bmpr2,1364,126133,TRUE,0.009793625806673839,0.04864531800896543,2,1.274337315872583,-0.8011432198046932,0.7385508914557737,0.7507452603309198,FALSE
X25,Elf1,968,126241,TRUE,0.009800448201985095,0.09432528438189358,2,1.534272923580821,-1.2559958125198645,0.9948977705275673,0.627277080893698,FALSE
X56,Klf4,171,47216,TRUE,0.009834471647416729,-0.0969749976538159,2,-0.8993121584684127,0.7349069596566417,1.0872752074889949,0.9709460146634494,FALSE
X55,Acvr2a,305,52381,TRUE,0.009877573684397926,0.219133570078764,2,1.9311060913704197,-0.9757600929660231,1.0341048439672607,1.4690459693344986,FALSE
X25,Epas1,1768,125441,TRUE,0.009880226199313169,-0.09599815845949422,2,-3.5977507822630628,-1.7329801696470029,1.003723140867466,0.6451279463703131,FALSE
X28,Plxna2,591,121694,TRUE,0.009896738726369089,0.21901107567533007,2,2.4617506980693604,0.12102977752473343,0.833071978635181,0.9519828499929804,FALSE
X73,Tlnrd1,330,42442,TRUE,0.009935423014048449,0.058250740621446084,2,1.1549962086241832,-1.104404143222109,0.8044014082131766,1.0221030563821931,FALSE
X86,Nfia,585,37648,TRUE,0.009939673097743296,-0.5066568963773865,2,-3.035382485869062,-1.8457319187128056,0.8429163711184219,1.0650764920720153,FALSE
